He oído la versión francesa de esta canción.,spa,spa
Sami knows Layla is angry with him.,eng,spa
Dinner is on the table.,eng,spa
Tom called Mary to tell her that he wanted her to help John.,eng,spa
Tom perdió las llaves de su auto.,spa,spa
Nunca estás en casa.,spa,spa
Soy tuyo.,spa,spa
You have to stop helping Mary.,eng,spa
De hecho, tengo que contarte algo.,spa,spa
I'll give you what for.,eng,spa
I have learned to work with Tom.,eng,spa
Tom has just gotten back from Australia.,eng,spa
¿Sientes que te queda bien?,spa,eng
Hoy Tom está muy ocupado.,spa,spa
En este cajero automático además de sacar dinero, también se puede ingresar.,spa,spa
Tom and Mary said there wasn't anything they could do about that.,eng,spa
Pensé que las cosas iban a mejorar.,spa,spa
Tenéis muchos amigos.,spa,spa
Tom is going to go swimming this afternoon.,eng,spa
This is my favorite meal.,eng,spa
Sami told Layla everything about the affair.,eng,spa
I have high hopes for you.,eng,spa
Ella estaba en la escena del crimen.,spa,spa
Tom descubrió dónde estaba Mary.,spa,spa
Do you mind if I use your bike?,eng,eng
¿La torre es tan importante en el juego de ajedrez?,spa,eng
No es tan estúpido como para no poder discernir lo correcto de lo incorrecto,spa,eng
Todos están felices.,spa,spa
No está fácil.,spa,spa
He broke his leg skiing.,eng,spa
Children filled the room.,eng,spa
Esperanto nos permite abrazar el mundo.,spa,spa
Como hasta ahora nunca había estado en el extranjero, todo se me hacía extraño.,spa,spa
Suiza es un país bello.,spa,spa
Tengo la costumbre de quedarme en casa los domingos.,spa,spa
Lo mejor es ir regularmente al dentista.,spa,spa
No entiendo por qué Tom dejaría su paraguas en el auto.,spa,spa
Sami paid Layla to do this.,eng,spa
No se puede oír sonido algún en la sala de conciertos.,spa,spa
Dame algo para escribir.,spa,spa
Estoy tocando en el parque.,spa,spa
Finalmente, nos dirigimos a nuestros lectores con una petición aún más importante.,spa,spa
It's not going anywhere.,eng,spa
This place is hideous.,eng,spa
Él trabaja como traductor.,spa,spa
Estoy viendo la corona.,spa,spa
Yo ya te dije todo lo que sabía.,spa,spa
